time,temp,feels_like,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,clouds,pop,rain,uvi

2023-04-25 12:00:00,10.1,8.94,1009,68,4.47,5.56,303,10.44,100,1,2.81,2.5

2023-04-26 12:00:00,8.28,5.23,1016,45,-2.95,5.53,304,8.62,70,0.25,0.0,3.47

2023-04-27 12:00:00,10.14,8.33,1021,43,-1.96,3.73,324,4.23,85,0,0.0,4.7

2023-04-28 12:00:00,13.3,11.81,1021,43,0.87,4.32,221,5.97,93,0,0.0,4.69

2023-04-29 12:00:00,10.44,9.73,1017,84,7.82,2.78,140,5.86,100,0.99,5.29,1.71

2023-04-30 12:00:00,13.87,12.93,1018,62,6.57,3.84,327,7.36,59,0,0.0,2

2023-05-01 12:00:00,15.6,14.7,1014,57,6.98,4.14,105,8.81,100,0.44,0.73,2

2023-05-02 12:00:00,14.1,13.37,1012,69,8.48,5.71,316,9.97,100,0.44,0.11,2

