time,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,pop

2023-04-25 10:00:00,9.88,7.51,1009,72,5.08,1.68,100,10000,4.82,314,7.31,0.14

2023-04-25 11:00:00,10.07,9.04,1009,73,5.46,2.33,100,10000,4.8,308,6.8,0.14

2023-04-25 12:00:00,10.21,9.09,1009,69,4.78,2.41,100,10000,4.92,307,6.97,0.14

2023-04-25 13:00:00,10.81,9.59,1009,63,4.06,2.5,100,10000,5.14,311,7.47,0.14

2023-04-25 14:00:00,11.37,10.08,1008,58,3.41,2.26,100,10000,5.46,313,7.79,0.18

2023-04-25 15:00:00,11.78,10.42,1007,54,2.79,1.18,100,10000,5.56,303,7.66,0.11

2023-04-25 16:00:00,11.9,10.48,1007,51,1.87,0.79,100,10000,4.92,298,7.45,0.13

2023-04-25 17:00:00,12.48,11.01,1007,47,1.49,0.43,100,10000,5.06,306,7.45,0.09

2023-04-25 18:00:00,11.64,10.27,1008,54,2.59,0.39,100,10000,4.81,322,6.65,0.09

2023-04-25 19:00:00,10.69,9.33,1009,58,2.62,0.11,97,10000,4.57,325,7.26,0.09

2023-04-25 20:00:00,9.39,7.12,1010,63,2.6,0,95,10000,4.29,319,8.03,0.09

2023-04-25 21:00:00,8.29,5.68,1011,68,2.7,0,63,10000,4.47,320,8.81,0.08

2023-04-25 22:00:00,7.01,4.14,1011,78,3.28,0,56,10000,4.37,326,9.38,0.05

2023-04-25 23:00:00,6.23,3.39,1012,80,2.94,0,41,10000,3.96,316,8.77,0.08

2023-04-26 00:00:00,5.83,3.27,1013,80,2.52,0,45,10000,3.34,310,7.18,0.08

2023-04-26 01:00:00,4.78,2.32,1014,83,1.93,0,40,10000,2.89,303,5.68,0.08

2023-04-26 02:00:00,4.04,1.49,1014,83,1.34,0,40,10000,2.83,288,5.79,0.05

2023-04-26 03:00:00,3.43,0.65,1014,81,0.37,0,7,10000,2.96,288,7.56,0

2023-04-26 04:00:00,3.09,0.17,1015,81,0.03,0,7,10000,3.05,288,8.3,0

2023-04-26 05:00:00,2.74,-0.39,1015,84,0.16,0,7,10000,3.23,292,8.62,0

2023-04-26 06:00:00,2.56,-0.43,1015,86,0.24,0,8,10000,3,293,8.23,0

2023-04-26 07:00:00,3.7,0.47,1016,79,0.35,0.29,8,10000,3.67,298,8.42,0

2023-04-26 08:00:00,5.15,1.93,1016,71,0.31,0.82,21,10000,4.2,305,7.4,0

2023-04-26 09:00:00,6.53,3.34,1016,63,-0.09,1.53,33,10000,4.8,307,7.09,0.11

2023-04-26 10:00:00,7.67,4.59,1016,53,-1.46,2.51,40,10000,5.21,308,6.91,0.24

2023-04-26 11:00:00,8.53,5.62,1016,46,-2.45,3.47,60,10000,5.33,305,6.94,0.25

2023-04-26 12:00:00,8.28,5.23,1016,45,-2.95,3.09,70,10000,5.53,304,6.96,0.21

2023-04-26 13:00:00,8.64,5.78,1016,45,-2.76,3.2,76,10000,5.27,309,6.98,0.17

2023-04-26 14:00:00,10,7.47,1016,40,-3.2,2.9,74,10000,5.32,310,7.11,0.14

2023-04-26 15:00:00,10.12,8.18,1016,38,-3.72,2.94,100,10000,5.38,311,7.01,0.14

2023-04-26 16:00:00,10.14,8.2,1016,38,-3.86,1.97,100,10000,5.21,311,6.66,0.11

2023-04-26 17:00:00,10.12,8.18,1016,38,-3.68,1.09,100,10000,4.73,316,6.49,0.14

2023-04-26 18:00:00,9.54,7.19,1016,41,-3.03,0.54,100,10000,4.57,317,5.55,0.11

2023-04-26 19:00:00,8.49,6.2,1017,47,-2.34,0.16,99,10000,3.9,312,5.7,0.13

2023-04-26 20:00:00,6.57,4.44,1018,54,-2.26,0,90,10000,2.93,307,5.56,0.07

2023-04-26 21:00:00,5.47,3.43,1019,61,-1.66,0,51,10000,2.53,309,4.38,0

2023-04-26 22:00:00,4.86,3.19,1019,66,-0.94,0,69,10000,2.01,309,2.7,0

2023-04-26 23:00:00,4.48,3.04,1019,70,-0.75,0,69,10000,1.75,295,2.34,0

2023-04-27 00:00:00,4.04,2.61,1019,72,-0.71,0,66,10000,1.69,278,2.13,0

2023-04-27 01:00:00,3.58,1.8,1020,75,-0.66,0,63,10000,1.92,271,2.66,0

2023-04-27 02:00:00,3.12,1.2,1020,77,-0.61,0,66,10000,1.98,271,2.67,0

2023-04-27 03:00:00,2.76,1.02,1020,78,-0.78,0,87,10000,1.78,279,2.26,0

2023-04-27 04:00:00,2.56,0.88,1020,78,-1.07,0,92,10000,1.71,283,2.1,0

2023-04-27 05:00:00,2.28,0.52,1021,78,-1.36,0,94,10000,1.74,282,2.18,0

2023-04-27 06:00:00,2.3,0.73,1021,77,-1.4,0,95,10000,1.6,278,2.04,0

2023-04-27 07:00:00,3.63,2.12,1022,71,-1.19,0.28,96,10000,1.7,282,2.85,0

2023-04-27 08:00:00,5.18,3.5,1022,65,-1.08,0.79,96,10000,2.08,286,3.12,0

2023-04-27 09:00:00,6.65,4.96,1022,59,-0.83,1.82,99,10000,2.37,291,3.31,0

